distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,5.0,person,0.19968832567807687,0.3742568512412414,0.06273062730627306,0.5862068965517241,0.699980328604571,29.0,271.0
GaussNoise,5.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,15.0
GaussNoise,5.0,car,0.3801279905812688,0.5654210192390737,0.07429718875502007,0.6727272727272727,0.7627855556371328,55.0,498.0
GaussNoise,5.0,motorcycle,,,0.0,0.0,0.0,0.0,5.0
GaussNoise,5.0,bus,,,0.0,0.0,0.0,0.0,7.0
GaussNoise,5.0,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,5.0,truck,0.5252475247524753,1.0,0.0625,1.0,0.7469718954379567,2.0,32.0
GaussNoise,10.0,person,0.20809189278193568,0.35295694799240585,0.06995884773662552,0.5862068965517241,0.7252460424622783,29.0,243.0
GaussNoise,10.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,21.0
GaussNoise,10.0,car,0.35964467555929647,0.5511190193138809,0.06642728904847396,0.6727272727272727,0.7480195590491467,55.0,557.0
GaussNoise,10.0,motorcycle,,,0.0,0.0,0.0,0.0,6.0
GaussNoise,10.0,bus,,,0.0,0.0,0.0,0.0,7.0
GaussNoise,10.0,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,10.0,truck,0.5,1.0,0.08,1.0,0.72631704016922,2.0,25.0
GaussNoise,20.0,person,0.16173927565199972,0.26752357180972214,0.056451612903225805,0.4827586206896552,0.7395880643059762,29.0,248.0
GaussNoise,20.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,35.0
GaussNoise,20.0,car,0.28406130352549236,0.47943067393850364,0.053973013493253376,0.6545454545454545,0.7434643428478825,55.0,667.0
GaussNoise,20.0,motorcycle,,,0.0,0.0,0.0,0.0,5.0
GaussNoise,20.0,bus,,,0.0,0.0,0.0,0.0,1.0
GaussNoise,20.0,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,20.0,truck,0.5,1.0,0.047619047619047616,1.0,0.7237390666365116,2.0,42.0
GaussNoise,35.0,person,0.13286710696903137,0.24019606846455163,0.041353383458646614,0.3793103448275862,0.7220460763741939,29.0,266.0
GaussNoise,35.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,25.0
GaussNoise,35.0,car,0.23836805248987827,0.45543322110650186,0.05680119581464873,0.6909090909090909,0.710096301722667,55.0,669.0
GaussNoise,35.0,motorcycle,,,0.0,0.0,0.0,0.0,8.0
GaussNoise,35.0,bus,,,0.0,0.0,0.0,0.0,3.0
GaussNoise,35.0,train,,,0.0,0.0,0.0,0.0,3.0
GaussNoise,35.0,truck,0.268976897689769,0.55995599559956,0.06060606060606061,1.0,0.6720856816064642,2.0,33.0
GaussNoise,50.0,person,0.0964698194574769,0.23089151717749953,0.028985507246376812,0.3448275862068966,0.6671235882047626,29.0,345.0
GaussNoise,50.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,20.0
GaussNoise,50.0,car,0.12987774562324061,0.27710621802375707,0.06356968215158924,0.4727272727272727,0.6697800842027765,55.0,409.0
GaussNoise,50.0,motorcycle,,,0.0,0.0,0.0,0.0,8.0
GaussNoise,50.0,bus,,,0.0,0.0,0.0,0.0,2.0
GaussNoise,50.0,train,,,0.0,0.0,0.0,0.0,7.0
GaussNoise,50.0,truck,0.2854785478547855,0.5874587458745875,0.08,1.0,0.6970201813895025,2.0,25.0
SevereJPEG,80.0,person,0.2304433415637214,0.40120097016880524,0.07196969696969698,0.6551724137931034,0.7081264789518465,29.0,264.0
SevereJPEG,80.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
SevereJPEG,80.0,car,0.37798150709821793,0.5710551776558486,0.08167770419426049,0.6727272727272727,0.7716290176904249,55.0,453.0
SevereJPEG,80.0,motorcycle,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,80.0,bus,,,0.0,0.0,0.0,0.0,9.0
SevereJPEG,80.0,train,,,0.0,0.0,0.0,0.0,2.0
SevereJPEG,80.0,truck,0.535926449787836,1.0,0.05405405405405406,1.0,0.7644456865212581,2.0,37.0
SevereJPEG,60.0,person,0.20883244419219596,0.37713173855517024,0.06498194945848375,0.6206896551724138,0.7141226107744609,29.0,277.0
SevereJPEG,60.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,14.0
SevereJPEG,60.0,car,0.36786038091957507,0.595533341185182,0.08676789587852494,0.7272727272727273,0.7566212488591834,55.0,461.0
SevereJPEG,60.0,motorcycle,,,0.0,0.0,0.0,0.0,4.0
SevereJPEG,60.0,bus,,,0.0,0.0,0.0,0.0,5.0
SevereJPEG,60.0,train,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,60.0,truck,0.5252475247524753,1.0,0.05555555555555555,1.0,0.7485249820931192,2.0,36.0
SevereJPEG,40.0,person,0.20291857972386795,0.364099709882764,0.057432432432432436,0.5862068965517241,0.7233254715075169,29.0,296.0
SevereJPEG,40.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,14.0
SevereJPEG,40.0,car,0.3801829160664301,0.5830873620415379,0.0824295010845987,0.6909090909090909,0.7602749184638837,55.0,461.0
SevereJPEG,40.0,motorcycle,,,0.0,0.0,0.0,0.0,5.0
SevereJPEG,40.0,bus,,,0.0,0.0,0.0,0.0,7.0
SevereJPEG,40.0,train,,,0.0,0.0,0.0,0.0,1.0
SevereJPEG,40.0,truck,0.5504950495049504,1.0,0.05,1.0,0.7970709816859471,2.0,40.0
SevereJPEG,20.0,person,0.2076497245209671,0.3590020213020413,0.05964912280701754,0.5862068965517241,0.7395314527245785,29.0,285.0
SevereJPEG,20.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
SevereJPEG,20.0,car,0.36689160062684917,0.5614610294134361,0.07414829659318638,0.6727272727272727,0.7695400229008857,55.0,499.0
SevereJPEG,20.0,motorcycle,,,0.0,0.0,0.0,0.0,7.0
SevereJPEG,20.0,bus,,,0.0,0.0,0.0,0.0,11.0
SevereJPEG,20.0,train,,,0.0,0.0,0.0,0.0,1.0
SevereJPEG,20.0,truck,0.5252475247524753,1.0,0.043478260869565216,1.0,0.7489050238301183,2.0,46.0
SevereJPEG,5.0,person,0.16960277505841828,0.25836325332938154,0.0425531914893617,0.4827586206896552,0.7202789336693042,29.0,329.0
SevereJPEG,5.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,6.0
SevereJPEG,5.0,car,0.2743463002581485,0.4871680237144782,0.06581352833638025,0.6545454545454545,0.7413651934380683,55.0,547.0
SevereJPEG,5.0,motorcycle,,,0.0,0.0,0.0,0.0,8.0
SevereJPEG,5.0,bus,,,0.0,0.0,0.0,0.0,19.0
SevereJPEG,5.0,train,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,5.0,truck,0.3243124312431243,0.6149614961496149,0.022988505747126436,1.0,0.8051163514549129,2.0,87.0
LowLight,0.8,person,0.22667405429139023,0.38976737239381054,0.07421875,0.6551724137931034,0.7071286927568997,29.0,256.0
LowLight,0.8,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,15.0
LowLight,0.8,car,0.3821052549199926,0.5788642745306245,0.0835214446952596,0.6727272727272727,0.7736433983793246,55.0,443.0
LowLight,0.8,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.8,bus,,,0.0,0.0,0.0,0.0,7.0
LowLight,0.8,train,,,0.0,0.0,0.0,0.0,1.0
LowLight,0.8,truck,0.5504950495049504,1.0,0.0625,1.0,0.7779070564695237,2.0,32.0
LowLight,0.6,person,0.22301257398795116,0.3936799689922081,0.06896551724137931,0.6206896551724138,0.7043274608010396,29.0,261.0
LowLight,0.6,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,16.0
LowLight,0.6,car,0.367644430370812,0.5477037308242324,0.08083140877598152,0.6363636363636364,0.7768713561438593,55.0,433.0
LowLight,0.6,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.6,bus,,,0.0,0.0,0.0,0.0,4.0
LowLight,0.6,train,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.6,truck,0.5504950495049504,1.0,0.05714285714285714,1.0,0.7852483019387821,2.0,35.0
LowLight,0.4,person,0.2051213465731791,0.3449841224723976,0.06837606837606838,0.5517241379310345,0.7256680948015779,29.0,234.0
LowLight,0.4,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,13.0
LowLight,0.4,car,0.3649247005559177,0.5529192870726448,0.08450704225352113,0.6545454545454545,0.7721293473787498,55.0,426.0
LowLight,0.4,motorcycle,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.4,bus,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.4,train,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.4,truck,0.6252475247524752,1.0,0.06896551724137931,1.0,0.7884065652112153,2.0,29.0
LowLight,0.25,person,0.18236480226144341,0.2949864744453994,0.06190476190476191,0.4482758620689655,0.7569370173758171,29.0,210.0
LowLight,0.25,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
LowLight,0.25,car,0.3549720386417258,0.5472608226234782,0.08144796380090498,0.6545454545454545,0.7686142992550477,55.0,442.0
LowLight,0.25,motorcycle,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.25,bus,,,0.0,0.0,0.0,0.0,2.0
LowLight,0.25,train,,,0.0,0.0,0.0,0.0,4.0
LowLight,0.25,truck,0.5178217821782178,0.8349834983498351,0.07692307692307693,1.0,0.8060899671305115,2.0,26.0
LowLight,0.1,person,0.15816733697302549,0.2556954544323927,0.07017543859649122,0.41379310344827586,0.7636213565670343,29.0,171.0
LowLight,0.1,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,4.0
LowLight,0.1,car,0.2760627415925034,0.47744733572944204,0.06941838649155722,0.6727272727272727,0.7376960494549478,55.0,533.0
LowLight,0.1,motorcycle,,,0.0,0.0,0.0,0.0,0.0
LowLight,0.1,bus,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.1,train,,,0.0,0.0,0.0,0.0,3.0
LowLight,0.1,truck,0.4343234323432344,0.8349834983498351,0.14285714285714285,1.0,0.768421109455047,2.0,14.0
MotionBlur,3.0,person,0.2212047913891387,0.36933214295831107,0.06772908366533864,0.5862068965517241,0.7224261674027053,29.0,251.0
MotionBlur,3.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
MotionBlur,3.0,car,0.39065718275643285,0.6172908942619185,0.0819327731092437,0.7090909090909091,0.7637841360183625,55.0,476.0
MotionBlur,3.0,motorcycle,,,0.0,0.0,0.0,0.0,4.0
MotionBlur,3.0,bus,,,0.0,0.0,0.0,0.0,8.0
MotionBlur,3.0,train,,,0.0,0.0,0.0,0.0,1.0
MotionBlur,3.0,truck,0.5570957095709571,1.0,0.05128205128205128,1.0,0.7818452769815294,2.0,39.0
MotionBlur,5.0,person,0.22036683812549923,0.38879714683861505,0.075,0.6206896551724138,0.7135778568419603,29.0,240.0
MotionBlur,5.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,11.0
MotionBlur,5.0,car,0.37169010415813053,0.6047784656179106,0.08506224066390042,0.7454545454545455,0.7474052326156078,55.0,482.0
MotionBlur,5.0,motorcycle,,,0.0,0.0,0.0,0.0,4.0
MotionBlur,5.0,bus,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,5.0,train,,,0.0,0.0,0.0,0.0,1.0
MotionBlur,5.0,truck,0.5504950495049504,1.0,0.05263157894736842,1.0,0.7863245321905128,2.0,38.0
MotionBlur,9.0,person,0.2096510369488705,0.3450452082712622,0.06666666666666667,0.5172413793103449,0.7164779570757349,29.0,225.0
MotionBlur,9.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,7.0
MotionBlur,9.0,car,0.3815521952695521,0.615332100373936,0.0762081784386617,0.7454545454545455,0.7545606450721632,55.0,538.0
MotionBlur,9.0,motorcycle,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,9.0,bus,,,0.0,0.0,0.0,0.0,7.0
MotionBlur,9.0,train,,,0.0,0.0,0.0,0.0,2.0
MotionBlur,9.0,truck,0.5782812896674283,1.0,0.05,1.0,0.7944063566618081,2.0,40.0
MotionBlur,15.0,person,0.17576895256485553,0.27286497954814787,0.05429864253393665,0.41379310344827586,0.7328292842631124,29.0,221.0
MotionBlur,15.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,10.0
MotionBlur,15.0,car,0.3562303301423577,0.5749900933954601,0.06700167504187604,0.7272727272727273,0.7534070664885844,55.0,597.0
MotionBlur,15.0,motorcycle,,,0.0,0.0,0.0,0.0,22.0
MotionBlur,15.0,bus,,,0.0,0.0,0.0,0.0,18.0
MotionBlur,15.0,train,,,0.0,0.0,0.0,0.0,2.0
MotionBlur,15.0,truck,0.5171617161716171,1.0,0.05405405405405406,1.0,0.6865952613280718,2.0,37.0
MotionBlur,25.0,person,0.10365854475342093,0.1720689543297453,0.04395604395604396,0.41379310344827586,0.7093629751997118,29.0,273.0
MotionBlur,25.0,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,10.0
MotionBlur,25.0,car,0.2558794048806004,0.4291560410366923,0.06498194945848375,0.6545454545454545,0.7336982201613457,55.0,554.0
MotionBlur,25.0,motorcycle,,,0.0,0.0,0.0,0.0,47.0
MotionBlur,25.0,bus,,,0.0,0.0,0.0,0.0,35.0
MotionBlur,25.0,train,,,0.0,0.0,0.0,0.0,3.0
MotionBlur,25.0,truck,0.5,1.0,0.09090909090909091,1.0,0.7350983398583658,2.0,22.0
