distortion,level_index,level,output_strength,sample_count,psnr_gain_db,ssim_gain,mae_reduction,orb_gain,canny_gain,base_seg_miou,selected_seg_miou,selected_minus_base_seg_miou,base_detection_map_50_95,selected_detection_map_50_95,selected_minus_base_detection_map_50_95
GaussNoise,0,5.0,0.7,12,0.5942715131354385,0.013454889257748922,0.28975391387939453,-0.0006249999999999959,0.0035626096315209965,0.48571766773092245,0.4860634537054905,0.00034578597456802473,0.16416516216481808,0.1641023914565419,-6.277070827617748e-05
GaussNoise,1,10.0,0.7,12,0.8236311639280034,0.041446621219317116,0.7451995213826498,1.850371707708594e-17,0.0006275494332889098,0.47941684190135553,0.4803729177596809,0.0009560758583253559,0.163156811229817,0.1626660725498587,-0.0004907386799583024
GaussNoise,2,20.0,0.7,12,1.2049721031679457,0.07249043633540471,2.1015408039093018,-0.003229166666666653,0.006863550749876528,0.47463140423377786,0.47706862211169554,0.0024372178779176745,0.11137456029259814,0.11068110396974422,-0.0006934563228539192
GaussNoise,3,35.0,0.7,12,2.0214180054712263,0.0956554835041364,5.72340456644694,-0.029895833333333326,0.018147018391935905,0.42172339842247175,0.4289100527170187,0.007186654294546957,0.08281069277015866,0.0800787553172245,-0.002731937452934166
GaussNoise,4,50.0,0.7,12,4.1860449432418045,0.13905603935321173,13.962746938069662,-0.04770833333333333,0.01825473045977963,0.3982407100044558,0.39906367645450197,0.0008229664500461475,0.07818888008959082,0.0785108831846825,0.0003220030950916719
SevereJPEG,0,80.0,0.7,12,-0.00664946430037124,0.0011569162209828694,-0.015477150678634644,-0.00416666666666668,-0.0003926442950741941,0.48392252706828975,0.4838896195304458,-3.29075378439625e-05,0.17148848542604034,0.17211163576427807,0.0006231503382377324
SevereJPEG,1,60.0,0.7,12,0.1638675181221861,0.0019095887740453084,0.03748915592829386,-0.004270833333333317,-0.007827623045579287,0.47894728619915056,0.47898996235754837,4.2676158397814135e-05,0.1688876000357919,0.17177178207782845,0.002884182042036554
SevereJPEG,2,40.0,0.7,12,0.22161328488298673,0.003289883335431417,0.06171650687853495,-0.003437500000000001,-0.0010838903151171124,0.46709517209585943,0.4673216338779171,0.000226461782057652,0.16652006841335282,0.16762927529556523,0.0011092068822124157
SevereJPEG,3,20.0,0.7,12,0.36859538837941247,0.008755971988042196,0.12873645623524985,0.0003125000000000026,-0.01529437834201792,0.4458733627667379,0.4437027158376799,-0.0021706469290579955,0.15227587601551135,0.15494662057320857,0.0026707445576972244
SevereJPEG,4,5.0,0.7,12,0.5541583529906416,0.0314837247133255,0.43098612626393634,0.001145833333333332,-0.01603384146173285,0.28776428101534063,0.28534548155817285,-0.002418799457167775,0.09504812238695719,0.09272054354225726,-0.002327578844699932
LowLight,0,0.8,1.0,12,6.467589890594145,0.023802777131398518,7.8596110343933105,-0.17885416666666668,0.21841502116189537,0.4860195464121763,0.4860195464121763,0.0,0.16754294034147243,0.16754294034147243,0.0
LowLight,1,0.6,1.0,12,7.57854059638636,0.12307311594486237,16.776280879974365,-0.3351041666666667,0.4819090267565054,0.4807625379444565,0.4807625379444565,0.0,0.17106300871279348,0.17106300871279348,0.0
LowLight,2,0.4,1.0,12,8.778831370989172,0.32198401788870495,26.710831006368,-0.3677083333333333,0.5307655204350524,0.47815845577730076,0.47815845577730076,0.0,0.1748199408865429,0.1748199408865429,0.0
LowLight,3,0.25,1.0,12,9.308989087698953,0.529284305870533,34.116271018981934,0.04739583333333333,0.4233294794922318,0.46613973441663437,0.46613973441663437,0.0,0.16916412755944427,0.16916412755944427,0.0
LowLight,4,0.1,1.0,12,7.706146122796633,0.7304897010326385,37.10828204949697,0.4028125,0.04488718615453039,0.4551212490682735,0.4551212490682735,0.0,0.16904230408601104,0.16904230408601104,0.0
MotionBlur,0,3.0,1.0,12,2.439615763368709,0.002550805608431498,0.11581077675024669,0.04458333333333331,0.03766821231932795,0.48460761512668193,0.48460761512668193,0.0,0.16101400269784513,0.16101400269784513,0.0
MotionBlur,1,5.0,1.0,12,1.1278693189367501,0.005789438883463542,0.1376303732395172,0.08583333333333333,0.12169176166345463,0.49028931782017987,0.49028931782017987,0.0,0.16687635867408018,0.16687635867408018,0.0
MotionBlur,2,9.0,1.0,12,2.685607712254084,0.02081190049648285,0.4880817234516144,0.20624999999999996,0.20000659753127945,0.4795096309528113,0.4795096309528113,0.0,0.15746544859257286,0.15746544859257286,0.0
MotionBlur,3,15.0,1.0,12,3.162634713980586,0.035967802007993065,0.8207411368687948,0.29187500000000005,0.278527053428348,0.48680736802778374,0.48680736802778374,0.0,0.1418171540004563,0.1418171540004563,0.0
MotionBlur,4,25.0,1.0,12,1.707642693844521,0.023245816429456074,0.5739304224650065,0.10729166666666666,0.03338030786308849,0.4000606752421218,0.4000606752421218,0.0,0.1098189269315644,0.1098189269315644,0.0
